Name,,Password,,Email,,
,,,,,,
Movie id,Movie name,Acting,Music,Story,Sets design/Backgrounds,Overall
1,3 idiots,,,,,
2,DDLJ,,,,,
3,Pk,,,,,
4,Haunted,,,,,
5,Dil Chahta hai ,,,,,
6,Drishyam,,,,,
7,Force,,,,,
8,Bhaag milkha bhaag,,,,,
9,Sholay,,,,,
10,Badlapur,,,,,
11,Himmatwala,,,,,
12,Tees maar khan,,,,,
13,Ram Gopal Varma Ki Aag,,,,,
14,"Good Boy, Bad Boy",,,,,
15,Chennai Express,,,,,
16,Batman-The Dark Knight,,,,,
17,The Avengers,,,,,
18,Inception,,,,,
19,Gravity,,,,,
20,Predestination,,,,,
21,Pursuit of happiness,,,,,
22,The Notebook,,,,,
23,Titanic,,,,,
24,The Exorcist,,,,,
25,The Conjuring,,,,,
